tier,gen_arm,test,sigma_het,sigma_donor,n_donors,n_perm,lambda_pb,fp_rate,fp_binom_p,mean_rejections,power,power_sd,n_power_reps,prior_df_d0,shrinkage,seconds
B,directnb,ttest,0.8,0.7,8,1500,1.0071369836937154,0.028666666666666667,0.9999839855236882,0.030666666666666665,0.09706949782497062,,,,,19.19300289999228
B,directnb,ttest,1.2,0.35,8,1500,0.9977478779509609,0.034666666666666665,0.9982775449019042,0.03666666666666667,0.7581517587939699,,,,,18.954457700019702
B,directnb,ttest,1.2,0.5,12,1500,1.0013473706225442,0.037333333333333336,0.9917674394029931,0.04066666666666666,0.7012670855825199,,,,,20.53001350001432
B,directnb,ttest,1.2,0.5,4,1500,0.9788448440038489,0.021333333333333333,0.9999999962956536,0.02266666666666667,0.05823809129223001,,,,,17.61799160001101
B,directnb,ttest,1.2,0.7,8,1500,0.9998722032275608,0.036,0.9960950524559197,0.038,0.31560766473835417,,,,,19.342331300023943
B,directnb,voom,0.0,0.35,8,1500,1.0092496926910128,0.044,0.8709769122031014,0.046,0.7919999999999999,,,124.49837689129691,0.8989157828832307,424.2932861999725
B,directnb,voom,0.0,0.5,12,1500,1.0112147696070704,0.03333333333333333,0.999295871643289,0.037333333333333336,0.48460000000000003,,,88.05671032808438,0.8001030565567794,184.2901486000046
B,directnb,voom,0.0,0.5,4,1500,1.0180419239572482,0.030666666666666665,0.9999076861084669,0.03333333333333333,0.009600000000000001,,,32.751606138598355,0.8451677079256922,178.63403640000615
B,directnb,voom,0.0,0.7,8,1500,1.025886308795011,0.013333333333333334,0.9999999999999959,0.014666666666666666,0.0022,,,26.085165394417825,0.6507436139467792,425.6581190999714
B,directnb,voom,0.4,0.35,8,1500,1.0068481651153904,0.04466666666666667,0.8432094753824476,0.04733333333333333,0.7692,,,10.755372538276117,0.4344661960407357,428.2217290000408
B,directnb,voom,0.4,0.5,12,1500,1.0126566177718743,0.034666666666666665,0.9982775449019042,0.03666666666666667,0.49760000000000004,,,8.520133929297808,0.2791643689714908,185.08883389999392
B,directnb,voom,0.4,0.5,4,1500,1.0222706765649006,0.035333333333333335,0.9973823229495187,0.038,0.0,,,7.513937564572509,0.5560139321844055,179.11199679999845
B,directnb,voom,0.4,0.7,8,1500,1.0257863095357354,0.03,0.9999473393805908,0.034,0.0006,,,5.434138967940506,0.27961820057502546,180.83920099999523
B,directnb,voom,0.8,0.35,8,1500,1.0031789786076186,0.048666666666666664,0.6102010414020103,0.05266666666666667,0.7668,,,3.613271789212118,0.20514483807745457,180.622738200007
B,directnb,voom,0.8,0.5,12,1500,1.003999868972125,0.04466666666666667,0.8432094753824476,0.04933333333333333,0.621,,,2.9125934575721084,0.11691249498100063,184.45481040002778
B,directnb,voom,0.8,0.5,4,1500,1.013835554783932,0.05266666666666667,0.33385438417001106,0.056,0.0,,,2.880187371899759,0.32433858107698843,180.18528440000955
B,directnb,voom,0.8,0.7,8,1500,1.0082187290686937,0.029333333333333333,0.9999706247842074,0.03266666666666666,0.06935754257108236,,,2.528602364529039,0.15298343494278188,182.11766570003238
B,directnb,voom,1.2,0.35,8,1500,0.9987918825952592,0.05333333333333334,0.2926044984288806,0.062,0.7969577889447236,,,2.205859862756205,0.13611495356847075,181.48524939996423
B,directnb,voom,1.2,0.5,12,1500,0.9957987226325289,0.044,0.8709769122031014,0.048666666666666664,0.7197387487841185,,,1.8836188731275332,0.07886656051302478,182.66746329999296
B,directnb,voom,1.2,0.5,4,1500,0.9934801719073059,0.04666666666666667,0.7393424606864039,0.04933333333333333,0.1486850759978429,,,1.9250807694242162,0.24290992425608804,180.04362700000638
B,directnb,voom,1.2,0.7,8,1500,0.9784965530215186,0.03133333333333333,0.9998416729380549,0.035333333333333335,0.32753125371959385,,,1.9343447797922277,0.12139468591424882,175.31262320000678
B,directnb,wilcoxon,0.0,0.35,8,1500,0.9752127003140404,0.0,1.0,0.0,0.513,,,,,36.482524599996395
B,directnb,wilcoxon,0.0,0.5,12,1500,0.9689998666417345,0.0,1.0,0.0,0.19419999999999998,,,,,21.142011300020386
B,directnb,wilcoxon,0.0,0.5,4,1500,0.35997163140263144,0.0,1.0,0.0,0.0,,,,,16.682831200014334
B,directnb,wilcoxon,0.0,0.7,8,1500,0.9752127003140404,0.0,1.0,0.0,0.0,,,,,36.40237429999979
B,directnb,wilcoxon,0.4,0.35,8,1500,0.9752127003140404,0.0,1.0,0.0,0.581,,,,,36.35471929999767
B,directnb,wilcoxon,0.4,0.5,12,1500,0.9689998666417345,0.0,1.0,0.0,0.3544,,,,,20.99087389995111
B,directnb,wilcoxon,0.4,0.5,4,1500,0.35997163140263144,0.0,1.0,0.0,0.0,,,,,16.57081200001994
B,directnb,wilcoxon,0.4,0.7,8,1500,1.0243027890874012,0.0,1.0,0.0,0.0,,,,,39.22065719997045
B,directnb,wilcoxon,0.8,0.35,8,1500,0.9752127003140404,0.0,1.0,0.0,0.6359999999999999,,,,,18.97210970002925
B,directnb,wilcoxon,0.8,0.5,12,1500,0.9689998666417345,0.0,1.0,0.0,0.543,,,,,21.368091500014998
B,directnb,wilcoxon,0.8,0.5,4,1500,0.41214550093457536,0.0,1.0,0.0,0.0,,,,,17.930161299998872
B,directnb,wilcoxon,0.8,0.7,8,1500,1.0243027890874012,0.0,1.0,0.0,0.0,,,,,19.632950500003062
B,directnb,wilcoxon,1.2,0.35,8,1500,1.0243027890874012,0.0,1.0,0.0,0.6859407035175878,,,,,19.259144200012088
B,directnb,wilcoxon,1.2,0.5,12,1500,0.9689998666417345,0.0,1.0,0.0,0.66790270627514,,,,,21.47023259999696
B,directnb,wilcoxon,1.2,0.5,4,1500,0.41214550093457536,0.0,1.0,0.0,0.0,,,,,17.781459800025914
B,directnb,wilcoxon,1.2,0.7,8,1500,1.0243027890874012,0.0,1.0,0.0,0.12768659019229678,,,,,19.68308829999296
C,gamma,ebayes,0.0,0.5,8,400,1.0068227989447278,0.03,0.980953969292611,0.03,0.1816,,,92.03196459934068,0.8679643440268101,684.1983890000265
